"date","V","y"
2022-02-10,"Omicron",1
2022-02-15,"Omicron",15
2022-02-16,"Omicron",3
2022-02-19,"Omicron",1
2022-02-20,"Omicron",42
2022-02-21,"Omicron",1
2022-02-22,"Omicron",25
2022-02-23,"Omicron",2
2022-02-26,"Omicron",6
2022-02-27,"Omicron",27
2022-03-01,"Omicron",27
2022-03-02,"Omicron",3
2022-03-06,"Omicron",34
2022-03-07,"Omicron",2
2022-03-08,"Omicron",40
2022-03-09,"Omicron",2
2022-03-12,"Omicron",7
2022-03-13,"Omicron",45
2022-03-14,"Omicron",8
2022-03-15,"Omicron",15
2022-03-16,"Omicron",3
2022-03-19,"Omicron",2
2022-03-20,"Omicron",57
2022-03-21,"Omicron",6
2022-03-22,"Omicron",15
2022-03-23,"Omicron",3
2022-03-26,"Omicron",7
2022-03-27,"Omicron",46
2022-03-28,"Omicron",13
2022-03-29,"Omicron",36
2022-03-30,"Omicron",8
2022-04-03,"Omicron",35
2022-04-04,"Omicron",3
2022-04-05,"Omicron",16
2022-04-06,"Omicron",3
2022-04-09,"Omicron",7
2022-04-10,"Omicron",45
2022-04-11,"Omicron",5
2022-04-12,"Omicron",33
2022-04-16,"Omicron",1
2022-04-17,"Omicron",7
2022-04-18,"Omicron",18
2022-04-19,"Omicron",9
2022-04-20,"Omicron",16
2022-04-21,"Omicron",1
2022-04-23,"Omicron",5
2022-04-24,"Omicron",45
2022-04-25,"Omicron",5
2022-04-26,"Omicron",2
2022-04-27,"Omicron",3
2022-04-30,"Omicron",3
2022-05-01,"Omicron",56
2022-05-02,"Omicron",4
2022-05-03,"Omicron",15
2022-05-04,"Omicron",2
2022-05-07,"Omicron",7
2022-05-08,"Omicron",45
2022-05-09,"Omicron",6
2022-05-10,"Omicron",13
2022-05-11,"Omicron",2
2022-05-14,"Omicron",1
2022-05-15,"Omicron",41
2022-05-16,"Omicron",9
2022-05-17,"Omicron",3
2022-05-18,"Omicron",2
2022-05-21,"Omicron",6
2022-05-22,"Omicron",23
2022-05-24,"Omicron",15
2022-05-28,"Omicron",2
2022-05-29,"Omicron",44
2022-05-30,"Omicron",5
2022-05-31,"Omicron",3
2022-06-05,"Omicron",2
2022-06-06,"Omicron",23
2022-06-07,"Omicron",11
2022-06-08,"Omicron",12
2022-06-11,"Omicron",1
2022-06-12,"Omicron",31
2022-06-13,"Omicron",4
2022-06-14,"Omicron",2
2022-06-20,"Omicron",1
2022-06-21,"Omicron",14
2022-06-22,"Omicron",3
2022-06-25,"Omicron",1
2022-06-26,"Omicron",41
2022-06-27,"Omicron",5
2022-06-28,"Omicron",2
2022-06-29,"Omicron",3
2022-07-02,"Omicron",8
2022-07-03,"Omicron",55
2022-07-04,"Omicron",9
2022-07-05,"Omicron",11
2022-07-06,"Omicron",3
2022-07-09,"Omicron",1
2022-07-10,"Omicron",32
2022-07-11,"Omicron",4
2022-07-12,"Omicron",25
2022-07-13,"Omicron",2
2022-07-16,"Omicron",5
2022-07-17,"Omicron",21
2022-07-18,"Omicron",9
2022-07-19,"Omicron",33
2022-07-20,"Omicron",3
2022-07-22,"Omicron",1
2022-07-23,"Omicron",1
2022-07-24,"Omicron",30
2022-07-25,"Omicron",6
2022-07-26,"Omicron",2
2022-09-06,"Omicron",37
2022-11-21,"Omicron",27
2022-11-25,"Omicron",11
2022-12-05,"Omicron",9
NA,"Omicron",15
